fips_code,gun_store_counts
10001,18
10003,51
10005,72
1001,21
1003,69
1005,10
1007,3
1009,19
1011,1
1013,10
1015,46
1017,11
1019,9
1021,15
1023,7
1025,16
1027,7
1029,5
1031,18
1033,19
1035,1
1037,5
1039,26
1041,9
1043,30
1045,22
1047,8
1049,19
1051,29
1053,20
1055,27
1057,6
1059,10
1061,8
1063,1
1065,1
1067,9
1069,33
1071,25
1073,106
1075,3
1077,30
1079,7
1081,28
1083,34
1085,3
1087,4
1089,130
1091,8
1093,19
1095,32
1097,95
1099,10
11000,7
1101,35
1103,38
1105,3
1107,4
1109,12
1111,10
1113,12
1115,19
1117,54
1119,6
1121,23
1123,13
1125,33
1127,24
1129,5
1131,7
1133,12
12001,72
12003,8
12005,64
12007,10
12009,151
12011,213
12013,6
12015,34
12017,61
12019,44
12021,52
12023,18
12025,226
12027,8
12029,6
12031,139
12033,67
12035,16
12037,3
12039,16
12041,8
12043,1
12045,8
12047,3
12049,8
12051,13
12053,38
12055,35
12057,187
12059,9
12061,41
12063,21
12065,7
12067,3
12069,86
12071,132
12073,74
12075,27
12077,3
12079,6
12081,76
12083,103
12085,43
12087,27
12089,19
12091,80
12093,26
12095,170
12097,44
12099,168
12101,116
12103,196
12105,120
12107,27
12109,38
12111,62
12113,55
12115,88
12117,74
12119,20
12121,21
12123,12
12125,1
12127,129
12129,17
12131,23
12133,12
13001,13
13003,2
13005,5
13009,14
13011,11
13013,20
13015,36
13017,11
13019,8
13021,32
13023,8
13025,6
13027,7
13029,16
13031,19
13033,5
13035,8
13039,21
13043,5
13045,39
13047,18
13049,11
13051,48
13053,3
13055,12
13057,51
13059,27
13061,1
13063,19
13065,3
13067,102
13069,18
13071,14
13073,24
13075,6
13077,35
13079,4
13081,5
13083,9
13085,12
13087,17
13089,33
13091,4
13093,2
13095,23
13097,22
13099,11
13103,22
13105,10
13107,16
13109,8
13111,14
13113,26
13115,36
13117,49
13119,10
13121,67
13123,15
13127,46
13129,25
13131,12
13133,4
13135,114
13137,15
13139,42
13141,2
13143,9
13145,6
13147,10
13149,5
13151,29
13153,30
13155,2
13157,27
13159,7
13161,8
13163,4
13165,2
13167,2
13169,5
13171,5
13173,3
13175,14
13177,10
13179,12
13181,3
13183,2
13185,19
13187,11
13189,8
13191,5
13193,1
13195,14
13197,2
13199,12
13201,3
13205,8
13207,12
13209,1
13211,8
13213,8
13215,36
13217,18
13219,13
13221,9
